 100  306319025    4 16 24 19   552 250     6   1AY 16.5000 23.8000 19.1421( 4.1L)        7                        GRANADA
 100  306324020    4 16 24 19   552 250     6   1AY 16.5000 23.8000 19.1421( 4.1L)        7                        MONARCH
 100  306419015    2 16 21 18   584 302     8   2AY 16.0199 20.6529 17.8187( 5.0L)        7                        MUSTANG II
 100  306419019    5 16 21 18   584 302     8   2AY 16.0199 20.6529 17.8187( 5.0L)        7                        FAIRMONT
 100  306419021    8 16 21 18   584 302     8   2AY 16.0199 20.6529 17.8187( 5.0L)        7                        FAIRMONT WAGON
 100  306419025    4 15 23 18   584 302     8   2AY 15.2974 22.7000 17.9283( 5.0L)        7                        GRANADA
 100  306424016    5 16 21 18   584 302     8   2AY 16.0199 20.6529 17.8187( 5.0L)        7                        ZEPHYR
 100  306424017    8 16 21 18   584 302     8   2AY 16.0199 20.6529 17.8187( 5.0L)        7                        ZEPHYR WAGON
 100  306424020    4 15 23 18   584 302     8   2AY 15.2974 22.7000 17.9283( 5.0L)        7                        MONARCH
 100  306519030    5 12 18 14   750 351     8   2AY 12.1000 18.4000 14.3039( 5.8L)        7                        LTD II                          (M ENG)
 100  306519055    5 12 18 14   750 351     8   2AY 12.1000 18.4000 14.3039( 5.8L)        7                        THUNDERBIRD                     (M ENG)
 100  306524025    5 12 18 14   750 351     8   2AY 12.1000 18.4000 14.3039( 5.8L)        7                        COUGAR/COUGAR XR-7              (M ENG)
 100  306570025   11 12 18 14   750 351     8   2AY 12.1000 18.4000 14.3039( 5.8L)        7                        RANCHERO                        (M ENG)
 100  306619005    2 17 22 19   552 171     6   2AY 16.6000 22.4000 18.7893( 2.8L)        7                        PINTO
 100  306619010    7 17 22 19   552 171     6   2AY 16.6000 22.4000 18.7893( 2.8L)        7                        PINTO WAGON
 100  306624005    2 17 22 19   552 171     6   2AY 16.6000 22.4000 18.7893( 2.8L)        7                        BOBCAT
 100  306624007    7 17 22 19   552 171     6   2AY 16.6000 22.4000 18.7893( 2.8L)        7                        BOBCAT WAGON
 100  306724022    4 15 22 18   584 302     8   2AY 15.1004 21.8897 17.5499( 5.0L)        7                        VERSAILLES
 100  307619003    3 30 43 35   300  98     4   2MY 29.7492 43.4334 34.6637( 1.6L)        7                        FIESTA
 100  308019010    7 20 30 24   438 140     4   2MY 19.9753 30.4564 23.6355( 2.3L)        7                        PINTO WAGON
 100  308019015    2 20 30 24   438 140     4   2MY 19.9753 30.4564 23.6355( 2.3L)        7                        MUSTANG II
 100  308019019    5 20 30 24   438 140     4   2MY 19.9753 30.4564 23.6355( 2.3L)        7                        FAIRMONT
 100  308024007    7 20 30 24   438 140     4   2MY 19.9753 30.4564 23.6355( 2.3L)        7                        BOBCAT WAGON
 100  308024016    5 20 30 24   438 140     4   2MY 19.9753 30.4564 23.6355( 2.3L)        7                        ZEPHYR
 100  308119021    8 19 30 23   457 140     4   2MY 19.1864 29.8569 22.8634( 2.3L)        7                        FAIRMONT WAGON
 100  308124017    8 19 30 23   457 140     4   2MY 19.1864 29.8569 22.8634( 2.3L)        7                        ZEPHYR WAGON
 100  309619030    5 12 18 14   750 400     8   2AY 11.6000 17.7000 13.7292( 6.6L)        7                        LTD II
 100  309619045    6 11 18 14   750 400     8   2AY 11.4000 17.6000 13.5476( 6.6L)        7                        FORD
 100  309619050    9 11 18 14   750 400     8   2AY 11.4000 17.6000 13.5476( 6.6L)        7                        FORD WAGON
 100  309619055    5 12 18 14   750 400     8   2AY 11.6000 17.7000 13.7292( 6.6L)        7                        THUNDERBIRD
 100  309624025    5 12 18 14   750 400     8   2AY 11.6000 17.7000 13.7292( 6.6L)        7                        COUGAR/COUGAR XR-7
 100  309624040    6 11 18 14   750 400     8   2AY 11.4000 17.6000 13.5476( 6.6L)        7                        MERCURY
 100  309624045    9 11 18 14   750 400     8   2AY 11.4000 17.6000 13.5476( 6.6L)        7                        MERCURY WAGON
 100  309624050    6 11 18 14   750 400     8   2AY 11.4000 17.6000 13.5476( 6.6L)        7                        LINCOLN CONTINENTAL
