 001  215032030    5 18 23 20  1376 225A3-1 6   1AY 17.9262 23.0093 19.9050               6                        GRAN FURY
 001  217013015    5 17 26 20  1455 318A3-1 8   2LY 16.6861 25.5079 19.7617               6                        CORDOBA                         (FFS)
 001  217013020    5 17 26 20  1455 318A3-1 8   2LY 16.6861 25.5079 19.7617               6                        NEW YORKER                      (FFS)
 001  217016040    5 17 26 20  1455 318A3-1 8   2LY 16.6861 25.5079 19.7617               6                        DIPLOMAT                        (FFS)
 001  217016075    5 17 26 20  1455 318A3-1 8   2LY 16.6861 25.5079 19.7617               6                        MIRADA                          (FFS)
 001  217032030    5 17 26 20  1455 318A3-1 8   2LY 16.6861 25.5079 19.7617               6                        GRAN FURY                       (FFS)
2001  218116040    5 14 19 16  1767 318A3-1 8   4LY 13.8000 19.4000 15.8602               6                        DIPLOMAT                        (FFS)     (POLICE)
2001  218132030    5 14 19 16  1767 318A3-1 8   4LY 13.8000 19.4000 15.8602               6                        GRAN FURY                       (FFS)     (POLICE)
 001  219021410    5 16 26 19  1547 318A3-1 8  FILY 16.0000 25.7000 19.2735               6                        IMPERIAL                        (FFS)
 001  223065007   10 24 34 27  1032 135A3-1 4   2AY 23.5000 34.2000 27.3507( 2.2L)        6                        RAMPAGE PICKUP 2WD
 001  223065007   10 26 40 31   953 135M4-2 4   2MY 25.6571 40.0808 30.6148( 2.2L)        6                        RAMPAGE PICKUP 2WD
 001  225065010   12 18 23 20  1376 225A3-1 6   1LY 17.6898 22.8545 19.6923               6                        D150 PICKUP 2WD
 001  225065010   12 17 22 19  1455 225C4-1 6   1CY 16.7000 21.6000 18.5986               6                        D150 PICKUP 2WD
 001  225065010   12 19 26 22  1302 225M4-2 6   1MY 19.0545 25.7657 21.5844               6                        D150 PICKUP 2WD
 001  225065015   12 18 23 20  1376 225A3-1 6   1LY 17.7439 22.9900 19.7744               6                        D250 PICKUP 2WD
 001  225065015   12 17 22 19  1455 225C4-1 6   1CY 16.7000 21.6000 18.5986               6                        D250 PICKUP 2WD
 001  225065030   15 18 23 20  1376 225A3-1 6   1LY 17.7439 22.9900 19.7744               6                        B150/B250 WAGON 2WD
 001  225065030   15 19 26 21  1302 225M4-2 6   1MY 18.8345 25.9197 21.4762               6                        B150/B250 WAGON 2WD
 001  225065045   14 18 23 20  1376 225A3-1 6   1LY 17.6616 22.7841 19.6496               6                        B150/B250 VAN 2WD
 001  225065045   14 19 26 22  1302 225M4-2 6   1MY 19.1726 25.6852 21.6419               6                        B150/B250 VAN 2WD
 001  225091010   15 18 23 20  1376 225A3-1 6   1LY 17.7439 22.9900 19.7744               6                        PB150/PB250 VOYAGER 2WD
 001  225091010   15 19 26 21  1302 225M4-2 6   1MY 18.8345 25.9197 21.4762               6                        PB150/PB250 VOYAGER 2WD
 001  225091062   12 18 23 20  1376 225A3-1 6   1LY 17.6972 22.8730 19.7035               6                        FARGO D150 PICKUP 2WD
 001  225091062   12 17 22 19  1455 225C4-1 6   1CY 16.7000 21.6000 18.5986               6                        FARGO D150 PICKUP 2WD
 001  225091062   12 19 26 22  1302 225M4-2 6   1MY 19.0543 25.7658 21.5843               6                        FARGO D150 PICKUP 2WD
 001  225091064   12 18 23 20  1376 225A3-1 6   1LY 17.7439 22.9900 19.7744               6                        FARGO D250 PICKUP 2WD
 001  225091064   12 17 22 19  1455 225C4-1 6   1CY 16.7000 21.6000 18.5986               6                        FARGO D250 PICKUP 2WD
 001  225091076   14 18 23 20  1376 225A3-1 6   1LY 17.6623 22.7860 19.6507               6                        B150/B250 VAN 2WD
 001  225091076   14 19 26 22  1302 225M4-2 6   1MY 19.1580 25.6951 21.6348               6                        B150/B250 VAN 2WD
