1986F 3120CAMARO                       173FIM5     6860307025820850820 4012025 4151CHEVROLET                         17   26   20   19   34   24  $  938( 2.8L) (FFS)                                             HBK- 85/12  OD RWD R
1986F 3120CAMARO                       305 4L4     8860307025821850821 4012025 4170CHEVROLET                         17   25   20   19   32   23  $  938( 5.0L) (FFS)                                             HBK- 85/12  OD RWD R
1986F 3120CAMARO                       305 4M5     8860307025821850819 4012025 4175CHEVROLET                         16   26   19   18   33   23  $  986( 5.0L) (305)     (FFS)                                   HBK- 85/12  OD RWD RSIL
1986F 3120CAMARO                       305FIL4     8860307025821850818 4012025 4190CHEVROLET                         17   25   20   19   32   23  $  938( 5.0L) (FFS)                                             HBK- 85/12  OD RWD R
1986F 3120CAVALIER CONVERTIBLE         121FIL3     4860307025818850820 4012070 4121CHEVROLET                         22   28   24   24   35   28  $  782( 2.0L) (FFS)                         2DR- 77/10                         FWD R
1986F 3120CAVALIER CONVERTIBLE         121FIM4     4860307025819850820 4012070 4122CHEVROLET                         25   32   28   28   41   32  $  669( 2.0L) (FFS)                         2DR- 77/10                      OD FWD RSIL
1986F 3120CAVALIER CONVERTIBLE         121FIM5     4860307025818850829 4012070 4120CHEVROLET                         24   32   27   27   41   31  $  694( 2.0L) (FFS)                         2DR- 77/10                      OD FWD RSIL
1986F 3120CAVALIER CONVERTIBLE         173FIL3     6860307025820850820 4012070 4140CHEVROLET                         18   25   21   20   32   24  $  892( 2.8L) (FFS)                         2DR- 77/10                         FWD R
1986F 3120CAVALIER CONVERTIBLE         173FIM4     6860307025820850820 4012070 4143CHEVROLET                         18   24   21   20   31   24  $  892( 2.8L) (FFS)                         2DR- 77/10                      OD FWD R
1986F 3120CHEVETTE CS                   98 2L3     4860307025817850816 4012005 4100CHEVROLET                         25   30   27   28   39   32  $  694( 1.6L) (FFS)                                             HBK- 79/10     RWD R
1986F 3120CHEVETTE CS                   98 2M4     4860307025817850814 4012005 4101CHEVROLET                         28   34   31   31   43   36  $  606( 1.6L) (FFS)                                             HBK- 79/10     RWD R
1986F 3120CHEVETTE CS                   98 2M5     4860307025818850814 4012005 4102CHEVROLET                         27   35   30   30   45   36  $  624( 1.6L) (FFS)                                             HBK- 79/10  OD RWD R
1986F 3120CHEVETTE CS                  111FIM5     4860307025818850820 4012005 4110CHEVROLET                         40   46   42   44   58   50  $  428( 1.8L) (DIESEL)  (NO-CAT)                                HBK- 79/10  OD RWD D
1986F 3120SPECTRUM                      90 2A3     48603070258408511092901208529010CHEVROLET                         31   34   33   35   44   39  $  568( 1.5L) (FFS)                                   4DR- 85/11HBK- 85/17     FWD R
1986F 3120SPECTRUM                      90 2M5     48603070258408511092901208529010CHEVROLET                         38   42   40   42   54   47  $  469( 1.5L) (FFS)                                   4DR- 85/11HBK- 85/17  OD FWD RSIL
1986F 3120SPRINT PLUS                   61 2A3     38603070258518508265401207754015CHEVROLET                         41   43   42   45   55   49  $  446( 1.0L) (FFS)                                             HBK- 79/ 8     FWD R
1986F 3120SPRINT PLUS                   61 2M5     38603070258518508265401207754015CHEVROLET                         44   50   47   49   64   55  $  399( 1.0L) (FFS)                                             HBK- 79/ 8  OD FWD R
1986F 3130LASER/DAYTONA                135FIA3     4860307025800850816 2013045 2410CHRYSLER                          24   27   25   26   34   29  $  750( 2.2L) (FFS)                                             HBK- 83/17     FWD R
1986F 3130LASER/DAYTONA                135FIA3     4860307025801850825 2013045 2420CHRYSLER                          20   24   22   22   31   25  $  921( 2.2L) (FFS,TRBO)                                        HBK- 83/17     FWD P
1986F 3130LASER/DAYTONA                135FIM5     4860307025800850816 2013045 2410CHRYSLER                          25   35   29   28   45   34  $  647( 2.2L) (FFS)                                             HBK- 83/17  OD FWD RSIL
1986F 3130LASER/DAYTONA                135FIM5     4860307025801850825 2013045 2420CHRYSLER                          19   28   22   21   36   26  $  921( 2.2L) (FFS,TRBO)                                        HBK- 83/17  OD FWD P
1986F 3130LASER/DAYTONA                152FIA3     4860307025802850816 2013045 2510CHRYSLER                          23   25   24   25   32   28  $  782( 2.5L) (FFS)                                             HBK- 83/17     FWD R
1986F 3130LASER/DAYTONA                152FIM5     4860307025802850816 2013045 2510CHRYSLER                          23   32   27   26   41   31  $  694( 2.5L) (FFS)                                             HBK- 83/17  OD FWD RSIL
1986F 3130LEBARON CONVERTIBLE          135FIA3     4860307025800850816 2013040 2410CHRYSLER                          24   27   25   26   34   29  $  750( 2.2L) (FFS)                         2DR- 80/10                         FWD R
1986F 3130LEBARON CONVERTIBLE          135FIA3     4860307025801850825 2013040 2420CHRYSLER                          20   24   22   22   31   25  $  921( 2.2L) (FFS,TRBO)                    2DR- 80/10                         FWD P
1986F 3130LEBARON CONVERTIBLE          135FIM5     4860307025801851217 2013040 2422CHRYSLER                          20   28   23   22   36   27  $  881( 2.2L) (FFS,TRBO)                    2DR- 80/10                      OD FWD P
1986F 3130LEBARON CONVERTIBLE          152FIA3     4860307025802850816 2013040 2510CHRYSLER                          23   25   24   25   32   28  $  782( 2.5L) (FFS)                         2DR- 80/10                         FWD R
1986F 3150PULSAR NX                     98 2L3     48603070258428508293801504638001NISSAN MOTOR CO., LTD.            27   30   28   30   38   33  $  669( 1.6L) (FFS)                         2DR- 79/10                         FWD R
1986F 3150PULSAR NX                     98 2M5     48603070258428508293801504638001NISSAN MOTOR CO., LTD.            31   38   34   35   49   40  $  551( 1.6L) (FFS)                         2DR- 79/10                      OD FWD R
1986F 3150SENTRA                        98 2L3     48603070258428508293801500838001NISSAN MOTOR CO., LTD.            27   30   28   30   38   33  $  669( 1.6L) (FFS)                         2DR- 84/114DR- 84/11HBK- 82/16     FWD R
1986F 3150SENTRA                        98 2M5     48603070258428508293801500838001NISSAN MOTOR CO., LTD.            31   38   34   35   49   40  $  551( 1.6L) (FFS)                         2DR- 84/114DR- 84/11HBK- 82/16  OD FWD R
1986F 3150SENTRA                       103FIM4     48603070258428508293801500838010NISSAN MOTOR CO., LTD.            45   50   47   50   65   56  $  383( 1.7L) (DIESEL)  (NO-CAT)            2DR- 84/114DR- 84/11HBK- 82/16  OD FWD DSIL
1986F 3150200SX                        110FIM5     48603070258438508293801502038020NISSAN MOTOR CO., LTD.            22   27   24   24   34   28  $  782( 1.8L) (FFS,TRBO)                    2DR- 78/ 9          HBK- 76/17  OD RWD R
1986F 3150200SX                        120FIL4     48603070258438508293801502038030NISSAN MOTOR CO., LTD.            22   28   24   24   36   28  $  782( 2.0L) (FFS)                         2DR- 78/ 9          HBK- 76/17 EOD RWD R
1986F 3150200SX                        120FIM5     48603070258438508293801502038030NISSAN MOTOR CO., LTD.            22   27   24   24   34   28  $  782( 2.0L) (FFS)                         2DR- 78/ 9          HBK- 76/17  OD RWD R
1986F 3150300ZX 2+2                    181FIL4     68603070258438508293801504538042NISSAN MOTOR CO., LTD.            17   25   20   19   32   24  $  938( 3.0L) (FFS)                                             HBK- 72/15 EOD RWD RVLKUP
1986F 3150300ZX 2+2                    181FIM5     68603070258438508293801504538042NISSAN MOTOR CO., LTD.            18   26   21   20   33   24  $  892( 3.0L) (FFS)                                             HBK- 72/15  OD RWD R
1986F 3160CHARGER                       97 2M4     4860307025800850812 2016007 2200DODGE                             31   39   34   34   50   40  $  551( 1.6L) (FFS)                                             HBK- 77/19  OD FWD RSIL
1986F 3160CHARGER                       97 2M4     4860307025800850812 2016007 2200DODGE                             28   33   30   31   43   35  $  624( 1.6L) (FFS)                                             HBK- 77/19  OD FWD R
1986F 3160CHARGER                      135 2A3     4860307025800850812 2016007 2400DODGE                             24   30   26   27   38   31  $  722( 2.2L) (FFS)                                             HBK- 77/19     FWD R
1986F 3160CHARGER                      135 2M5     4860307025800850812 2016007 2400DODGE                             26   36   30   29   46   35  $  624( 2.2L) (FFS)                                             HBK- 77/19  OD FWD RSIL
1986F 3160CHARGER                      135 2M5     4860307025800850812 2016007 2400DODGE                             22   30   25   25   38   30  $  810( 2.2L) (FFS)                                             HBK- 77/19  OD FWD P
1986F 3160CHARGER                      135FIM5     4860307025801850825 2016007 2420DODGE                             20   27   22   22   35   26  $  921( 2.2L) (FFS,TRBO)                                        HBK- 77/19  OD FWD P
1986F 3160COLT                          90 2L3     486030702584885 8214901602749010DODGE                             29   32   30   32   41   36  $  624( 1.5L) (FFS)                                   4DR- 80/11HBK- 81/11     FWD RVLKUP
1986F 3160COLT                          90 2M4     486030702584885 8214901602749010DODGE                             36   41   38   41   53   45  $  493( 1.5L) (FFS)                                   4DR- 80/11HBK- 81/11  OD FWD RSIL
1986F 3160COLT                          90 2M5     486030702584885 8214901602749010DODGE                             33   39   35   36   50   41  $  536( 1.5L) (FFS)                                   4DR- 80/11HBK- 81/11  OD FWD RSIL
1986F 3160COLT                          98FIL3     48603070258488508194901602749020DODGE                             24   26   25   26   34   29  $  810( 1.6L) (FFS,TRBO)                              4DR- 80/11HBK- 81/11     FWD PVLKUP
1986F 3160COLT                          98FIM5     48603070258488508194901602749020DODGE                             24   31   27   27   39   31  $  749( 1.6L) (FFS,TRBO)                              4DR- 80/11HBK- 81/11  OD FWD P
1986F 3160CONQUEST                     156FIL4     486030702584985 8194901601549060DODGE                             19   24   21   21   31   24  $  964( 2.6L) (FFS,TRBO)                                        HBK- 76/10 EOD RWD P
