CLASS,MFR,CAR LINE,DISPLACEMENT,NUMB CYL,TRANS,DRIVE SYS,INDEX NUMB,CITY MPG (GUIDE),HWY MPG (GUIDE),COMB MPG (GUIDE),UNRND CITY (EPA),UNRND HWY (EPA),UNRND COMP (EPA),FUEL TYPE,GUZLR,TURBO,SPCHGR,AVG 2D PASS VOL,AVG 2D LUGG VOL,AVG 4D PAS VOL,AVG 4D LUGG VOL,AVG HB PAS VOL,AVG HB LUGG VOL,ANL FL CST,ENG BLK TXT,TRANS DESC TXT,VLVS PER CYL,CLS,5C CODE
TWO SEATERS,PORSCHE,GT3       911 GT3,3.6,6,Manual(M6),R,670,15,22,18,18.8757,31.1712,22.9493,P,,,,,,,,,,2502, ,,4,1,DERIVED
TWO SEATERS,PORSCHE,GT3 RS    911 GT3 RS,3.6,6,Manual(M6),R,670,15,22,18,18.8757,31.1712,22.9493,P,,,,,,,,,,2502, ,,4,1,DERIVED
TWO SEATERS,SATURN,SKY,2,4,Auto(L5),R,19,19,26,21,23.2499,36.8997,27.893,P,,T,,,,,,,,2142, ,CLKUP ,4,1,DERIVED
TWO SEATERS,SATURN,SKY,2,4,Manual(M5),R,20,19,28,22,24.2,39.6,29.3333,P,,T,,,,,,,,2048, ,,4,1,DERIVED
TWO SEATERS,SATURN,SKY,2.4,4,Auto(L5),R,17,19,24,21,24.2,33.4,27.6241,P,,,,,,,,,,2142, ,CLKUP ,4,1,DERIVED
TWO SEATERS,SATURN,SKY,2.4,4,Manual(M5),R,18,19,25,21,23.6,34.8,27.5968,P,,,,,,,,,,2142, ,,4,1,DERIVED
TWO SEATERS,SHLBY,SHELBY MUSTANG GT,4.6,8,Manual(M5),R,1,15,22,17,18.3,30.2,22.2443,P,G,,,,,,,,,2646, ,,3,1,DERIVED
MINICOMPACT CARS,ASTON MARTIN,DB9 COUPE,5.9,12,Manual(M6),R,1,10,16,12,12.5,22.5,15.625,P,G,,,78,5,,,,,3748, ,,4,2,DERIVED
MINICOMPACT CARS,ASTON MARTIN,DB9 COUPE,5.9,12,Auto(S6),R,4,11,18,13,13.6,24.4,16.9826,P,G,,,78,5,,,,,3460, ,CLKUP ,4,2,DERIVED
MINICOMPACT CARS,ASTON MARTIN,DB9 VOLANTE,5.9,12,Manual(M6),R,2,10,16,12,12.5,22.5,15.625,P,G,,,78,5,,,,,3748, ,,4,2,DERIVED
