Class,Manufacturer,carline name,displ,cyl,trans,drv,bidx,cty,hwy,cmb,ucty,uhwy,ucmb,fl,G,T,S,2pv,2lv,4pv,4lv,hpv,hlv,fcost,eng dscr,trans dscr,vpc,cls
SUBCOMPACT CARS,BMW,330CI,3,6,Auto(L5),R,30,19,27,22,21.3435,34.7183,25.8195,P,,,,84,9,,,,,1126,,3MODE,4,3
SUBCOMPACT CARS,BMW,330CI,3,6,Manual(M5),R,30,21,30,24,23.1,38.1,28.0737,P,,,,84,9,,,,,1032,,,4,3
SUBCOMPACT CARS,BMW,M3,3.2,6,Manual(M6),R,32,16,24,19,18,30.9,22.1638,P,G,,,84,9,,,,,1302,GUZZLER,,4,3
SUBCOMPACT CARS,CHEVROLET,CAMARO,3.8,6,Auto(L4),R,107,19,30,23,21.4,38.8696,26.8254,R,,,,84,12,,,,,979,,CLKUP,2,3
SUBCOMPACT CARS,CHEVROLET,CAMARO,3.8,6,Manual(M5),R,106,19,31,23,21.2006,39.9958,26.8862,R,,,,84,12,,,,,979,,,2,3
SUBCOMPACT CARS,CHEVROLET,CAMARO,5.7,8,Auto(L4),R,113,18,25,21,19.7524,32.5265,23.9925,P,,,,84,12,,,,,1178,,CLKUP,2,3
SUBCOMPACT CARS,CHEVROLET,CAMARO,5.7,8,Manual(M6),R,112,19,28,22,21.249,35.857,26.0191,P,,,,84,12,,,,,1126,,,2,3
SUBCOMPACT CARS,FERRARI,FERRARI 456 MGT/MGTA,5.5,12,Auto(L4),R,2,10,15,11,10.6991,19.1,13.3393,P,G,,,87,7,,,,,2250,GUZZLER,CLKUP,4,3
SUBCOMPACT CARS,FERRARI,FERRARI 456 MGT/MGTA,5.5,12,Manual(M6),R,2,10,16,12,10.9,20.6,13.8306,P,G,,,87,7,,,,,2062,GUZZLER,,4,3
SUBCOMPACT CARS,FORD,ESCORT ZX2,2,4,Auto(L4),F,150,25,33,28,27.5,41.9,32.5311,R,,,,80,16,,,,,803,,CLKUP,4,3
SUBCOMPACT CARS,FORD,ESCORT ZX2,2,4,Manual(M5),F,152,26,33,29,28.8,42.9,33.7989,R,,,,80,16,,,,,776,,,4,3
SUBCOMPACT CARS,FORD,MUSTANG,3.8,6,Auto(L4),R,100,19,27,22,21.3676,34.8678,25.876,R,,,,82,11,,,,,1024,,CLKUP,2,3
SUBCOMPACT CARS,FORD,MUSTANG,3.8,6,Manual(M5),R,102,20,29,23,21.8,37.475,26.8547,R,,,,82,11,,,,,979,,,2,3
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Auto(L4),R,104,17,24,20,19.3206,30.8738,23.2329,R,,,,82,11,,,,,1125,,CLKUP,2,3
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Manual(M5),R,106,18,26,21,20.2,32.7,24.3967,R,,,,82,11,,,,,1071,,,2,3
SUBCOMPACT CARS,HONDA,CIVIC HX,1.7,4,Auto(AV),F,1,35,40,37,38.9,51.4,43.6802,R,,,,86,13,,,,,608,VTEC-E,,4,3
SUBCOMPACT CARS,HONDA,CIVIC HX,1.7,4,Manual(M5),F,1,36,44,39,40,56.3,45.992,R,,,,86,13,,,,,576,VTEC-E,,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2,4,Auto(L4),F,11,23,30,26,25.8,38.4,30.2695,R,,,,81,15,,,,,866,,CLKUP,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2,4,Manual(M5),F,11,23,31,26,25.6,39.8,30.4963,R,,,,81,15,,,,,866,,,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2.7,6,Auto(L4),F,12,20,26,22,21.7,33.4,25.7608,R,,,,81,15,,,,,1024,,CLKUP,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2.7,6,Manual(M6),F,12,18,26,21,20.3,33.9,24.7721,R,,,,81,15,,,,,1071,,,4,3
SUBCOMPACT CARS,JAGUAR,JAGUAR XK8,4,8,Auto(L5),R,220,17,24,20,19.0093,30.3497,22.8517,P,,,,75,11,,,,,1238,,2MODE,4,3
SUBCOMPACT CARS,JAGUAR,JAGUAR XKR,4,8,Auto(L5),R,77,16,22,19,18.1432,28.7881,21.7643,P,G,,S,75,11,,,,,1302,GUZZLER,2MODE,4,3
SUBCOMPACT CARS,MASERATI,COUPE CAMBIOCORSA/COUPE GT,4.2,8,Manual(M6),R,1,11,17,13,12.4,21.3,15.2715,P,G,,,86,5,,,,,1903,GUZZLER,,4,3
SUBCOMPACT CARS,MASERATI,COUPE CAMBIOCORSA/COUPE GT,4.2,8,Auto(S6),R,1,11,17,13,12.5259,21.2958,15.3752,P,G,,,86,5,,,,,1903,GUZZLER,3MODE,4,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK320,3.2,6,Auto(L5),R,365,20,27,23,22.1394,34.2598,26.3314,P,,,,81,11,,,,,1077,,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK320 (CABRIOLET),3.2,6,Auto(L5),R,466,19,26,22,21.3396,33.6,25.532,P,,,,76,9,,,,,1126,,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK430,4.3,8,Auto(L5),R,370,18,24,20,19.8,30.5,23.5118,P,,,,81,11,,,,,1238,,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK430 (CABRIOLET),4.3,8,Auto(L5),R,470,17,24,20,19.4,30.4,23.1733,P,,,,76,9,,,,,1238,,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK55 AMG,5.4,8,Auto(L5),R,374,17,24,20,19.4,30.7,23.2512,P,,,,76,9,,,,,1238,,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK55 AMG (CABRIOLET),5.4,8,Auto(L5),R,474,16,22,18,17.9,28.6,21.5236,P,G,,,76,9,,,,,1376,GUZZLER,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Auto(L4),F,22,20,27,23,22.6,34.4,26.7253,R,,,,,,,,79,17,979,SOHC,CMODE CLKUP,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Manual(M5),F,22,23,30,25,25.0356,38.508,29.7136,R,,,,,,,,79,17,900,SOHC,,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,2.4,4,Auto(S4),F,22,20,27,22,22.0887,34.3499,26.3157,R,,,,,,,,79,17,1024,SOHC,2MODE CLKUP,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,3,6,Manual(M5),F,23,20,28,23,22.5,36.2,27.1184,P,,,,,,,,79,17,1077,SOHC,,4,3
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,3,6,Auto(S4),F,23,20,28,23,21.8995,35.8,26.5361,P,,,,,,,,79,17,1077,SOHC,2MODE CLKUP,4,3
SUBCOMPACT CARS,MITSUBISHI,MIRAGE,1.5,4,Auto(L4),F,10,28,35,31,31.0171,44.4337,35.8943,R,,,,86,11,,,,,727,SOHC,CMODE CLKUP,3,3
SUBCOMPACT CARS,MITSUBISHI,MIRAGE,1.5,4,Manual(M5),F,10,32,39,35,35.2709,49.8112,40.6046,R,,,,86,11,,,,,644,SOHC,,3,3
SUBCOMPACT CARS,MITSUBISHI,MIRAGE,1.8,4,Auto(L4),F,11,26,32,28,28.4,41.6,33.1307,R,,,,86,11,,,,,803,SOHC,CMODE CLKUP,4,3
SUBCOMPACT CARS,MITSUBISHI,MIRAGE,1.8,4,Manual(M5),F,11,29,36,32,31.697,46.6968,37.053,R,,,,86,11,,,,,702,SOHC,,4,3
SUBCOMPACT CARS,PONTIAC,FIREBIRD,3.8,6,Auto(L4),R,107,19,30,23,21.4,38.8993,26.8317,R,,,,84,12,,,,,979,,CLKUP,2,3
SUBCOMPACT CARS,PONTIAC,FIREBIRD,3.8,6,Manual(M5),R,106,19,31,23,21.2002,39.9988,26.8864,R,,,,84,12,,,,,979,,,2,3
SUBCOMPACT CARS,PONTIAC,FIREBIRD,5.7,8,Auto(L4),R,113,18,26,21,20.1,32.7,24.3163,P,,,,84,12,,,,,1178,,CLKUP,2,3
SUBCOMPACT CARS,PONTIAC,FIREBIRD,5.7,8,Manual(M6),R,112,19,28,22,20.6,35.3,25.3505,P,,,,84,12,,,,,1126,,,2,3
SUBCOMPACT CARS,QUANTUM,CAVALIER DUAL-FUEL,2.2,4,Auto(A4),F,1,23,30,26,25.3435,38.5772,29.97,R,,,,,,92,7,,,866,RNG=360 MI,,2,3
SUBCOMPACT CARS,QUANTUM,CAVALIER DUAL-FUEL,2.2,4,Auto(A4),F,2,20,28,23,22.6726,35.6583,27.1163,C,,,,,,92,7,,,914,RNG=110 MI,,2,3
SUBCOMPACT CARS,ROUSH PERFORMANCE,ROUSH STAGE 3 MUSTANG,4.6,8,Auto(L4),R,2,18,23,20,20.2,29.3,23.3832,P,,,S,79,9,,,,,1238,,EMS CLKUP,2,3
SUBCOMPACT CARS,ROUSH PERFORMANCE,ROUSH STAGE 3 MUSTANG,4.6,8,Manual(M5),R,4,17,25,20,19.1,31.6,23.2318,P,,,S,79,9,,,,,1238,,EMS,2,3
SUBCOMPACT CARS,SAAB,SAAB 9-3 CONVERTIBLE,2,4,Auto(L4),F,301,21,29,24,23.1993,37.5651,28.0216,P,,T,,80,13,,,,,1032,B205R,2MODE CLKUP,4,3
SUBCOMPACT CARS,SAAB,SAAB 9-3 CONVERTIBLE,2,4,Manual(M5),F,308,23,33,26,25.5622,41.6952,30.9513,P,,T,,80,13,,,,,953,B205R,SIL,4,3
SUBCOMPACT CARS,SAAB,SAAB 9-3 VIGGEN CONVERTIBLE,2.3,4,Manual(M5),F,309,19,28,22,21.4347,35.7386,26.1433,P,,T,,80,13,,,,,1126,B235R,,4,3
SUBCOMPACT CARS,SATURN,SC,1.9,4,Auto(L4),F,117,26,36,29,28.7,45.6,34.4445,R,,,,84,11,,,,,776,SOHC,CLKUP,2,3
SUBCOMPACT CARS,SATURN,SC,1.9,4,Auto(L4),F,124,25,36,29,28.1245,45.567,33.9772,R,,,,84,11,,,,,776,DOHC,CLKUP,4,3
SUBCOMPACT CARS,SATURN,SC,1.9,4,Manual(M5),F,123,27,38,31,29.9,48.4,36.1113,R,,,,84,11,,,,,727,DOHC,SIL,4,3
SUBCOMPACT CARS,SATURN,SC,1.9,4,Manual(M5),F,116,28,40,33,31.6015,51.3006,38.2029,R,,,,84,11,,,,,682,,SIL,2,3
SUBCOMPACT CARS,SUBARU,IMPREZA AWD,2.5,4,Auto(L4),4,20,22,27,24,24.3205,34.6016,28.0742,R,,,,,,88,11,,,938,,CLKUP,4,3
SUBCOMPACT CARS,SUBARU,IMPREZA AWD,2.5,4,Manual(M5),4,20,20,28,23,22.6,35.4,26.9919,R,,,,,,88,11,,,979,,,4,3
SUBCOMPACT CARS,SUBARU,IMPREZA AWD,2,4,Auto(L4),4,10,19,26,22,21.4218,33.6804,25.6176,P,,T,,,,88,11,,,1126,,CLKUP,4,3
SUBCOMPACT CARS,SUBARU,IMPREZA AWD,2,4,Manual(M5),4,10,20,27,23,22.5052,34.722,26.7388,P,,T,,,,88,11,,,1077,,,4,3
SUBCOMPACT CARS,SUZUKI,ESTEEM,1.6,4,Auto(L4),F,21,27,34,30,30.2,43.4,34.9888,R,,,,,,86,12,,,749,,CLKUP,4,3
SUBCOMPACT CARS,SUZUKI,ESTEEM,1.8,4,Auto(L4),F,31,26,33,29,28.8,42.5,33.6865,R,,,,,,86,12,,,776,,CLKUP,4,3
SUBCOMPACT CARS,SUZUKI,ESTEEM,1.8,4,Manual(M5),F,30,28,35,31,31.4,44.4,36.165,R,,,,,,86,12,,,727,,,4,3
SUBCOMPACT CARS,TOYOTA,CAMRY SOLARA CONVERTIBLE,2.4,4,Auto(L4),F,7,23,31,26,25.3,39.2,30.1035,R,,,,90,9,,,,,866,,CLKUP,4,3
SUBCOMPACT CARS,TOYOTA,CAMRY SOLARA CONVERTIBLE,3,6,Auto(L4),F,9,19,26,21,20.9,33.1,25.0558,R,,,,90,9,,,,,1071,,CLKUP,4,3
SUBCOMPACT CARS,TOYOTA,CELICA,1.8,4,Auto(L4),F,18,29,36,31,31.8,45.8,36.8719,R,,,,78,10,,,78,17,727,,CLKUP,4,3
SUBCOMPACT CARS,TOYOTA,CELICA,1.8,4,Manual(M5),F,18,28,33,30,30.8997,42.4,35.1955,R,,,,78,10,,,78,17,749,,,4,3
SUBCOMPACT CARS,TOYOTA,CELICA,1.8,4,Manual(M6),F,20,23,32,26,25.7,40.5,30.758,P,,,,78,10,,,78,17,953,,,4,3
SUBCOMPACT CARS,TOYOTA,CELICA,1.8,4,Auto(S4),F,20,23,30,26,25.6335,38.099,30.0592,P,,,,78,10,,,78,17,953,,CLKUP,4,3
SUBCOMPACT CARS,VOLKSWAGEN,CABRIO,2,4,Auto(L4),F,1,23,29,25,25.1767,37.2911,29.4873,R,,,,82,8,,,,,900,,CLKUP,2,3
SUBCOMPACT CARS,VOLKSWAGEN,CABRIO,2,4,Manual(M5),F,1,24,31,27,27.0317,39.783,31.5877,R,,,,82,8,,,,,832,,,2,3
