CLASS,MFR,CAR LINE,DISPLACEMENT,NUMB CYL,TRANS,DRIVE SYS,CITY MPG (GUIDE),HWY MPG (GUIDE),COMB MPG (GUIDE),UNRND CITY (EPA),UNRND HWY (EPA),UNRND COMP (EPA),FUEL TYPE,GUZLR,TURBO,SPCHGR,AVG 2D PASS VOL,AVG 2D LUGG VOL,AVG 4D PAS VOL,AVG 4D LUGG VOL,AVG HB PAS VOL,AVG HB LUGG VOL,ANL FL CST,ENG BLK TXT,TRANS DESC TXT,VLVS PER CYL,CLS
STANDARD PICKUP TRUCKS 2WD,NISSAN,FRONTIER 2WD,2.5,4,Auto(L5),R,19,24,21,20.8,30.2,24.1879,R,,,,,,,,,,1571, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,NISSAN,FRONTIER 2WD,2.5,4,Manual(M5),R,22,25,23,24.5,31.8,27.3225,R,,,,,,,,,,1436, ,,4,12
STANDARD PICKUP TRUCKS 2WD,NISSAN,FRONTIER V6-2WD,4,6,Auto(L5),R,16,20,18,17.5451,26.2621,20.6259,R,,,,,,,,,,1835, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,NISSAN,FRONTIER V6-2WD,4,6,Manual(M6),R,17,21,19,18.9513,27.3275,21.9835,R,,,,,,,,,,1736, ,,4,12
STANDARD PICKUP TRUCKS 2WD,NISSAN,TITAN 2WD,5.6,8,Auto(L5),R,14,18,16,15.4513,23.7045,18.3219,R,,,,,,,,,,2062, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,NISSAN,TITAN 2WD,5.6,8,Auto(L5),R,10,14,12,11.4543,17.4804,13.5574,E,,,,,,,,,,2499,RNG310/330,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,NISSAN,TITAN 2WD,5.6,8,Auto(L5),R,14,19,16,15.6426,23.8814,18.5173,R,,,,,,,,,,2062,RNG420/450,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,TOYOTA,TOYOTA TACOMA 2WD,2.7,4,Auto(L4),R,21,26,23,23.0083,33.9106,26.9001,R,,,,,,,,,,1436, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,TOYOTA,TOYOTA TACOMA 2WD,2.7,4,Manual(M5),R,20,27,23,22.4996,34.6,26.7018,R,,,,,,,,,,1436, ,,4,12
STANDARD PICKUP TRUCKS 2WD,TOYOTA,TOYOTA TACOMA 2WD,4,6,Auto(L5),R,18,22,20,20.5,28.6,23.4943,R,,,,,,,,,,1650, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,TOYOTA,TOYOTA TACOMA 2WD,4,6,Manual(M6),R,16,21,18,17.7,26.3,20.7539,R,,,,,,,,,,1835, ,,4,12
STANDARD PICKUP TRUCKS 2WD,TOYOTA,TOYOTA TUNDRA 2WD,4,6,Auto(L5),R,18,22,20,20.4181,28.5011,23.4051,R,,,,,,,,,,1650, ,CLKUP ,4,12
STANDARD PICKUP TRUCKS 2WD,TOYOTA,TOYOTA TUNDRA 2WD,4,6,Manual(M6),R,16,20,17,17.5272,25.6842,20.4498,R,,,,,,,,,,1940, ,,4,12
STANDARD PICKUP TRUCKS 2WD,TOYOTA,TOYOTA TUNDRA 2WD,4.7,8,Auto(L5),R,16,19,17,17.4796,23.8404,19.8646,R,,,,,,,,,,1940, ,CLKUP ,4,12
