Class,Manufacturer,carline name,displ,cyl,trans,drv,cty,hwy,cmb,ucty,uhwy,ucmb,fl,G,T,S,2pv,2lv,4pv,4lv,hpv,hlv,fcost,eng dscr,trans dscr,vpc,cls
TWO SEATERS,MERCEDES-BENZ,SLK230 KOMPRESSOR,2.3,4,Manual(M5),R,21,31,25,23.4997,39.1869,28.6632,P,,,S,48,10,,,,,810,,EMS,4,1
TWO SEATERS,PLYMOUTH,PROWLER,3.5,6,Auto(L4),R,17,23,19,19,29.7,22.6763,P,,,,,,,,,,1065,,VMODE CLKUP,4,1
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Auto(A5),R,17,25,20,19.4354,31.543,23.4934,P,,,,,,,,,,1012,,2MODE,4,1
TWO SEATERS,PORSCHE,BOXSTER,2.7,6,Manual(M5),R,19,27,22,21.5,35.1,26.0404,P,,,,,,,,,,921,,,4,1
TWO SEATERS,PORSCHE,BOXSTER S,3.2,6,Auto(A5),R,17,24,19,18.4222,30.8691,22.5058,P,,,,,,,,,,1065,,2MODE,4,1
TWO SEATERS,PORSCHE,BOXSTER S,3.2,6,Manual(M6),R,18,26,20,19.5,32.7,23.8285,P,,,,,,,,,,1012,,,4,1
TWO SEATERS,TOYOTA,MR2,1.8,4,Manual(M5),F,25,30,27,27.9,38.3,31.7838,R,,,,46,2,,,,,666,,,4,1
MINICOMPACT CARS,ASTON MARTIN,DB-7 VANTAGE COUPE,5.9,12,Auto(L5),R,11,19,14,12.4,23.9,15.827,P,G,,,72,6,,,,,1446,GUZZLER,2MODE CLKUP,4,2
MINICOMPACT CARS,ASTON MARTIN,DB-7 VANTAGE COUPE,5.9,12,Manual(M6),R,11,18,13,12.2654,23.4237,15.6121,P,G,,,72,6,,,,,1557,GUZZLER,,4,2
MINICOMPACT CARS,ASTON MARTIN,DB-7 VANTAGE VOLANTE,5.9,12,Auto(L5),R,11,18,13,12.2,23,15.4686,P,G,,,72,6,,,,,1557,GUZZLER,2MODE CLKUP,4,2
MINICOMPACT CARS,ASTON MARTIN,DB-7 VANTAGE VOLANTE,5.9,12,Manual(M6),R,11,18,13,12.1,22.8,15.3394,P,G,,,72,6,,,,,1557,GUZZLER,,4,2
MINICOMPACT CARS,AUDI,TT COUPE,1.8,4,Manual(M5),F,22,31,25,24.2,40.0469,29.4429,P,,T,,,,,,65,14,810,,,5,2
MINICOMPACT CARS,AUDI,TT COUPE QUATTRO,1.8,4,Manual(M5),4,20,29,23,22.5,36.6,27.2186,P,,T,,,,,,65,11,881,,,5,2
MINICOMPACT CARS,BMW,323I CONVERTIBLE,2.5,6,Auto(L5),R,17,24,20,19.4,30.7,23.2512,P,,,,,,74,9,,,1012,,2MODE,4,2
MINICOMPACT CARS,BMW,323I CONVERTIBLE,2.5,6,Manual(M5),R,19,25,21,21,32.2,24.8969,P,,,,,,74,9,,,964,,,4,2
MINICOMPACT CARS,BMW,M ROADSTER,3.2,6,Manual(M5),R,19,26,21,21.1,32.7,25.1081,P,,,,,,74,9,,,964,,,4,2
MINICOMPACT CARS,JAGUAR,JAGUAR XK8 CONVERTIBLE,4,8,Auto(L5),R,17,24,20,18.8,30.7987,22.7965,P,,,,70,10,,,,,1012,,2MODE,4,2
MINICOMPACT CARS,JAGUAR,JAGUAR XKR CONVERTIBLE,4,8,Auto(L5),R,16,22,18,17.8741,28.3131,21.4296,P,G,,S,70,10,,,,,1126,GUZZLER,2MODE,4,2
MINICOMPACT CARS,MERCEDES-BENZ,CLK320  (CABRIOLET),3.2,6,Auto(L5),R,19,28,22,21.6242,35.2966,26.1893,P,,,,76,6,,,,,921,,EMS 2MODE CLKUP,3,2
MINICOMPACT CARS,MERCEDES-BENZ,CLK430  (CABRIOLET),4.3,8,Auto(L5),R,17,24,20,19.2,30.5997,23.0671,P,,,,76,6,,,,,1012,,EMS 2MODE CLKUP,3,2
MINICOMPACT CARS,PORSCHE,911 CARRERA,3.4,6,Auto(A5),R,16,25,19,18.2213,32.3493,22.6783,P,,,,70,5,,,,,1065,,2MODE,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA,3.4,6,Auto(A5),4,16,24,19,18.2428,30.7628,22.3329,P,,,,70,5,,,,,1065,,2MODE,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA,3.4,6,Manual(M6),R,17,25,20,18.9,32.1,23.1915,P,,,,70,5,,,,,1012,,,4,2
MINICOMPACT CARS,PORSCHE,911 CARRERA,3.4,6,Manual(M6),4,17,24,19,18.5898,30.1442,22.4647,P,,,,70,5,,,,,1065,,,4,2
MINICOMPACT CARS,QVALE,DETOMASO MANGUSTA,4.6,8,Manual(M5),R,19,31,19,18.6,31.4,22.7785,R,,,,70,6,,,,,900,4.6M,,4,2
SUBCOMPACT CARS,ACURA,INTEGRA,1.8,4,Auto(L4),F,24,30,26,26.1883,38.9626,30.7208,R,,,,,,83,12,77,13,693,,,4,3
SUBCOMPACT CARS,ACURA,INTEGRA,1.8,4,Manual(M5),F,25,31,28,28.0294,39.7852,32.3279,R,,,,,,83,12,77,13,643,,,4,3
SUBCOMPACT CARS,ACURA,INTEGRA,1.8,4,Manual(M5),F,25,30,27,27.846,38.8605,31.9169,P,,,,,,83,12,77,13,749,DOHC-VTEC,,4,3
SUBCOMPACT CARS,BENTLEY,BENTLEY AZURE,6.7,8,Auto(L4),R,11,16,13,12.3823,20.0411,14.9539,P,G,,,82,7,,,,,1557,GUZZLER,EMS 2MODE CLKUP,2,3
SUBCOMPACT CARS,BENTLEY,BENTLEY CONTINENTAL SC,6.7,8,Auto(L4),R,11,16,13,12.3823,20.0411,14.9539,P,G,,,85,7,,,,,1557,GUZZLER,EMS 2MODE CLKUP,2,3
SUBCOMPACT CARS,BENTLEY,BENTLEY CONTINENTAL T,6.7,8,Auto(L4),R,11,16,13,12.4896,20.4167,15.1338,P,G,,,85,12,,,,,1557,GUZZLER,EMS 2MODE CLKUP,2,3
SUBCOMPACT CARS,BMW,323CI,2.5,6,Auto(L5),R,19,27,22,20.6,34.7,25.2097,P,,,,84,9,,,,,921,,2MODE,4,3
SUBCOMPACT CARS,BMW,323CI,2.5,6,Manual(M5),R,20,29,23,22.7,36.8,27.4293,P,,,,84,9,,,,,881,,,4,3
SUBCOMPACT CARS,BMW,328CI,2.8,6,Auto(L5),R,18,27,21,20.2,34.2,24.7613,P,,,,84,9,,,,,964,,2MODE,4,3
SUBCOMPACT CARS,BMW,328CI,2.8,6,Manual(M5),R,21,29,24,22.7895,37.0222,27.5567,P,,,,84,9,,,,,844,,,4,3
SUBCOMPACT CARS,CHEVROLET,CAMARO,3.8,6,Auto(L4),R,19,29,22,21.0237,36.9159,26.075,R,,,,84,12,,,,,819,,CLKUP,2,3
SUBCOMPACT CARS,CHEVROLET,CAMARO,3.8,6,Manual(M5),R,19,30,23,21.3912,38.8618,26.8161,R,,,,84,12,,,,,783,,,2,3
SUBCOMPACT CARS,CHEVROLET,CAMARO,5.7,8,Auto(L4),R,17,25,20,18.4,32.2,22.7965,P,,,,84,12,,,,,1012,,CLKUP,2,3
SUBCOMPACT CARS,CHEVROLET,CAMARO,5.7,8,Manual(M6),R,18,27,21,20.362,34.8622,25.0507,P,,,,84,12,,,,,964,,,2,3
SUBCOMPACT CARS,CHEVROLET,CAVALIER,2.2,4,Auto(L3),F,23,29,25,25.1,36.9,29.3191,R,,,,85,12,92,13,,,720,,CLKUP,8,3
SUBCOMPACT CARS,CHEVROLET,CAVALIER,2.2,4,Auto(L4),F,23,31,26,25.7476,40,30.6643,R,,,,85,12,92,13,,,693,,CLKUP,8,3
SUBCOMPACT CARS,CHEVROLET,CAVALIER,2.2,4,Manual(M5),F,24,34,28,26.5,43.4,32.1302,R,,,,85,12,92,13,,,643,,SIL,2,3
SUBCOMPACT CARS,CHEVROLET,CAVALIER,2.4,4,Auto(L4),F,22,30,25,24.5,39.1,29.4482,R,,,,85,12,92,13,,,720,,CLKUP,2,3
SUBCOMPACT CARS,CHEVROLET,CAVALIER,2.4,4,Manual(M5),F,23,33,26,25.1,42.5,30.7687,R,,,,85,12,92,13,,,693,,SIL,2,3
SUBCOMPACT CARS,CHEVROLET,METRO,1,3,Manual(M5),F,39,46,42,42.9,59,48.9054,R,,,,,,80,10,77,8,428,,SIL,4,3
SUBCOMPACT CARS,CHEVROLET,METRO,1.3,4,Auto(A3),F,30,34,32,33.5415,44.0995,37.5914,R,,,,,,80,10,77,8,562,,,4,3
SUBCOMPACT CARS,CHEVROLET,METRO,1.3,4,Manual(M5),F,36,42,39,40.283,54.2,45.5456,R,,,,,,80,10,77,8,461,,SIL,4,3
SUBCOMPACT CARS,FERRARI,FERRARI 456 MGT/MGTA,5.5,12,Auto(L4),R,10,15,11,10.6991,19.1,13.3393,P,G,,,87,7,,,,,1841,GUZZLER,CLKUP,4,3
SUBCOMPACT CARS,FERRARI,FERRARI 456 MGT/MGTA,5.5,12,Manual(M6),R,10,16,12,10.9,20.6,13.8306,P,G,,,87,7,,,,,1687,GUZZLER,,4,3
SUBCOMPACT CARS,FORD,ESCORT ZX2,2,4,Auto(L4),F,25,33,28,28.2,42,33.093,R,,,,,,81,12,,,643,2.0Z,CLKUP,4,3
SUBCOMPACT CARS,FORD,ESCORT ZX2,2,4,Manual(M5),F,25,33,28,28.1308,41.8706,33.0045,R,,,,,,81,12,,,643,2.0Z,,4,3
SUBCOMPACT CARS,FORD,MUSTANG,3.8,6,Auto(L4),R,20,27,23,22.1156,35.1066,26.5341,R,,,,82,11,,,,,783,3.8N,CLKUP,2,3
SUBCOMPACT CARS,FORD,MUSTANG,3.8,6,Manual(M5),R,20,29,23,21.7684,36.8187,26.6752,R,,,,82,11,,,,,783,3.8N,,2,3
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Auto(L4),R,17,24,20,19.3656,30.3974,23.1456,R,,,,82,11,,,,,900,4.6N,CLKUP,2,3
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Manual(M5),R,17,25,20,19,31.6,23.1546,R,,,,82,11,,,,,900,4.6N,,2,3
SUBCOMPACT CARS,FORD,MUSTANG,4.6,8,Manual(M5),R,17,24,19,18.5041,31.3066,22.6772,P,,,,82,11,,,,,1065,4V,,4,3
SUBCOMPACT CARS,FORD,MUSTANG,5.4,8,Manual(M6),R,13,18,15,14.3,23.3,17.3086,P,G,,,82,11,,,,,1351,GUZZLER,,4,3
SUBCOMPACT CARS,HONDA,CIVIC,1.6,4,Auto(L4),F,28,35,30,30.6,44.4,35.5758,R,,,,85,12,90,9,86,13,599,SOHC-VTEC,,4,3
SUBCOMPACT CARS,HONDA,CIVIC,1.6,4,Auto(L4),F,28,35,31,30.8,44.6,35.7822,R,,,,85,12,90,9,86,13,581,,,4,3
SUBCOMPACT CARS,HONDA,CIVIC,1.6,4,Auto(L4),F,28,34,30,30.8,43.7,35.5181,C,,,,85,12,90,9,86,13,400,CNG,CLKUP,4,3
SUBCOMPACT CARS,HONDA,CIVIC,1.6,4,Manual(M5),F,32,37,34,35.06,46.9023,39.554,R,,,,85,12,90,9,86,13,529,,,4,3
SUBCOMPACT CARS,HONDA,CIVIC,1.6,4,Manual(M5),F,30,35,32,32.8,44.6,37.2329,R,,,,85,12,90,9,86,13,562,SOHC-VTEC,,4,3
SUBCOMPACT CARS,HONDA,CIVIC,1.6,4,Manual(M5),F,26,31,28,28.6,40.1,32.8378,P,,,,85,12,90,9,86,13,723,DOHC-VTEC,,4,3
SUBCOMPACT CARS,HONDA,CIVIC HX,1.6,4,Auto(AV),F,34,38,36,37.4895,48.9549,41.9061,R,,,,85,12,,,,,500,VTEC-E,,4,3
SUBCOMPACT CARS,HONDA,CIVIC HX,1.6,4,Manual(M5),F,35,43,38,38.6946,55.0218,44.658,R,,,,85,12,,,,,473,VTEC-E,,4,3
SUBCOMPACT CARS,HONDA,PRELUDE,2.2,4,Auto(L4),F,21,26,23,23.2931,33.9482,27.1241,P,,,,78,9,,,,,881,DOHC-VTEC,2MODE,4,3
SUBCOMPACT CARS,HONDA,PRELUDE,2.2,4,Manual(M5),F,22,27,24,24.7,34.3,28.2592,P,,,,78,9,,,,,844,DOHC-VTEC,,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2,4,Auto(L4),F,22,30,25,23.9608,38.6472,28.9035,R,,,,80,13,,,,,720,,2MODE CLKUP,4,3
SUBCOMPACT CARS,HYUNDAI,TIBURON,2,4,Manual(M5),F,23,32,27,26.105,40.6658,31.1191,R,,,,80,13,,,,,666,,,4,3
SUBCOMPACT CARS,IMPCO,CAVALIER DUAL-FUEL,2.2,4,Auto(A3),F,22,28,24,24.5984,35.3,28.4843,R,,,,,,92,7,,,751,NONE,,2,3
SUBCOMPACT CARS,IMPCO,CAVALIER DUAL-FUEL,2.2,4,Auto(A3),F,20,27,23,22.5446,33.9,26.546,C,,,,,,92,7,,,522,NONE,,2,3
SUBCOMPACT CARS,JAGUAR,JAGUAR XK8,4,8,Auto(L5),R,18,25,21,18.9979,31.4987,23.1284,P,,,,75,11,,,,,1012,,2MODE,4,3
SUBCOMPACT CARS,JAGUAR,JAGUAR XKR,4,8,Auto(L5),R,16,23,19,18.2454,28.9862,21.8966,P,G,,S,75,11,,,,,1065,GUZZLER,2MODE,4,3
SUBCOMPACT CARS,LEXUS,SC 300/SC 400,3,6,Auto(L4),R,19,23,21,20.7499,30.1225,24.1283,P,,,,,,85,9,,,964,,2MODE CLKUP,4,3
SUBCOMPACT CARS,LEXUS,SC 300/SC 400,4,8,Auto(L5),R,18,25,21,20.4467,31.7186,24.3389,P,,,,,,85,9,,,964,,CLKUP,4,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK320,3.2,6,Auto(L5),R,21,29,24,22.8411,36.7347,27.5259,P,,,,81,11,,,,,844,,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MERCEDES-BENZ,CLK430,4.3,8,Auto(L5),R,18,25,21,20.3499,31.5972,24.2313,P,,,,81,11,,,,,964,,EMS 2MODE CLKUP,3,3
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE,2.4,4,Auto(L4),F,21,28,23,23.1869,35.4732,27.468,R,,,,,,,,79,17,783,SOHC,CMODE CLKUP,4,3
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE,2.4,4,Auto(L4),F,20,27,23,22.7277,35.2404,27.0497,R,,,,,,,,79,17,783,SOHC,2MODE CLKUP,4,3
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE,2.4,4,Manual(M5),F,23,31,26,25.3493,39.1209,30.1208,R,,,,,,,,79,17,693,SOHC,,4,3
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE,3,6,Auto(L4),F,20,27,22,22.3715,35.8829,26.9355,P,,,,,,,,79,17,881,SOHC,2MODE CLKUP,4,3
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI ECLIPSE,3,6,Manual(M5),F,20,28,23,22.6,36.1,27.1727,P,,,,,,,,79,17,881,SOHC,,4,3
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI MIRAGE,1.5,4,Auto(L4),F,28,36,31,31.6232,45.6697,36.7031,R,,,,86,11,91,11,,,581,SOHC,CMODE CLKUP,3,3
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI MIRAGE,1.5,4,Manual(M5),F,33,40,35,36.331,50.7772,41.6652,R,,,,86,11,91,11,,,515,SOHC,,3,3
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI MIRAGE,1.8,4,Auto(L4),F,26,33,28,28.4734,41.6734,33.2066,R,,,,86,11,91,11,,,643,SOHC,CMODE CLKUP,4,3
SUBCOMPACT CARS,MITSUBISHI,MITSUBISHI MIRAGE,1.8,4,Manual(M5),F,28,36,31,30.9093,46.1139,36.2944,R,,,,86,11,91,11,,,581,SOHC,,4,3
SUBCOMPACT CARS,PONTIAC,FIREBIRD/TRANS AM,3.8,6,Auto(L4),R,19,29,22,21.0139,36.9093,26.0652,R,,,,84,12,,,,,819,,CLKUP,2,3
SUBCOMPACT CARS,PONTIAC,FIREBIRD/TRANS AM,3.8,6,Manual(M5),R,19,30,23,21.3894,38.8537,26.8128,R,,,,84,12,,,,,783,,,2,3
SUBCOMPACT CARS,PONTIAC,FIREBIRD/TRANS AM,5.7,8,Auto(L4),R,17,25,20,18.4,32.2,22.7965,P,,,,84,12,,,,,1012,,CLKUP,2,3
SUBCOMPACT CARS,PONTIAC,FIREBIRD/TRANS AM,5.7,8,Manual(M6),R,18,27,21,20.1,34.6,24.7715,P,,,,84,12,,,,,964,,,2,3
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.2,4,Auto(L3),F,23,29,25,25.1,36.9,29.3191,R,,,,85,11,90,13,,,720,,CLKUP,8,3
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.2,4,Auto(L4),F,23,31,26,25.7476,40,30.6643,R,,,,85,11,90,13,,,693,,CLKUP,8,3
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.2,4,Manual(M5),F,24,34,28,26.5,43.4,32.1302,R,,,,85,11,90,13,,,643,,SIL,2,3
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.4,4,Auto(L4),F,22,30,25,24.5,39.1,29.4482,R,,,,85,11,90,13,,,720,,CLKUP,2,3
SUBCOMPACT CARS,PONTIAC,SUNFIRE,2.4,4,Manual(M5),F,23,33,26,25.1,42.5,30.7687,R,,,,85,11,90,13,,,693,,SIL,2,3
SUBCOMPACT CARS,R-R MTR CARS LTD.,R-R CORNICHE,6.7,8,Auto(L4),R,11,16,13,12.6,20.4,15.2185,P,G,,,82,7,,,,,1557,GUZZLER,EMS CLKUP,2,3
SUBCOMPACT CARS,SAAB,SAAB 9-3 CONVERTIBLE,2,4,Auto(L4),F,20,26,22,21.8,33,25.7296,P,,T,,80,13,,,,,921,B205R,2MODE CLKUP,4,3
SUBCOMPACT CARS,SAAB,SAAB 9-3 CONVERTIBLE,2,4,Auto(L4),F,20,25,22,22,32.6,25.7708,R,,T,,80,13,,,,,819,B205L,2MODE CLKUP,4,3
SUBCOMPACT CARS,SAAB,SAAB 9-3 CONVERTIBLE,2,4,Manual(M5),F,22,29,24,23.9,37.5,28.5612,R,,T,,80,13,,,,,751,B205L,SIL,4,3
SUBCOMPACT CARS,SAAB,SAAB 9-3 CONVERTIBLE,2,4,Manual(M5),F,21,29,24,23.7,37.4,28.3778,P,,T,,80,13,,,,,844,B205R,SIL,4,3
SUBCOMPACT CARS,SAAB,SAAB 9-3 VIGGEN CONVERTIBLE,2.3,4,Manual(M5),F,20,29,24,22.6,37.4,27.4964,P,,T,,80,13,,,,,844,B235R,,4,3
SUBCOMPACT CARS,SATURN,SC,1.9,4,Auto(L4),F,27,36,30,29.6014,46.6121,35.4178,R,,,,84,11,,,,,599,SOHC,CLKUP,2,3
SUBCOMPACT CARS,SATURN,SC,1.9,4,Auto(L4),F,25,36,29,27.8917,45.8399,33.8571,R,,,,84,11,,,,,621,DOHC,CLKUP,2,3
SUBCOMPACT CARS,SATURN,SC,1.9,4,Manual(M5),F,28,40,33,31.5068,51.302,38.127,R,,,,84,11,,,,,545,SOHC,SIL,2,3
SUBCOMPACT CARS,SATURN,SC,1.9,4,Manual(M5),F,27,38,31,29.9,48.4,36.1113,R,,,,84,11,,,,,581,DOHC,SIL,2,3
SUBCOMPACT CARS,SUBARU,IMPREZA AWD,2.5,4,Auto(L4),4,23,28,25,25.2,36.2,29.1917,R,,,,,,84,11,,,720,,CLKUP,4,3
SUBCOMPACT CARS,SUBARU,IMPREZA AWD,2.5,4,Manual(M5),4,21,28,23,23.1,35.5,27.4081,R,,,,,,84,11,,,783,,,4,3
SUBCOMPACT CARS,SUZUKI,ESTEEM,1.6,4,Auto(L4),F,27,34,30,30.2,43.4,34.9888,R,,,,,,86,12,,,599,,2MODE 2LKUP,4,3
SUBCOMPACT CARS,SUZUKI,ESTEEM,1.6,4,Manual(M5),F,30,37,33,33.6,47.1,38.5755,R,,,,,,86,12,,,545,,,4,3
SUBCOMPACT CARS,SUZUKI,ESTEEM,1.8,4,Auto(L4),F,26,33,29,28.8,42.5,33.6865,R,,,,,,86,12,,,621,,CLKUP,4,3
SUBCOMPACT CARS,SUZUKI,ESTEEM,1.8,4,Manual(M5),F,28,35,31,31.4,44.4,36.165,R,,,,,,86,12,,,581,,,4,3
SUBCOMPACT CARS,SUZUKI,SWIFT,1.3,4,Auto(A3),F,30,34,32,33.5415,44.0995,37.5914,R,,,,,,,,77,8,562,,,4,3
SUBCOMPACT CARS,SUZUKI,SWIFT,1.3,4,Manual(M5),F,36,42,39,40.283,54.2,45.5456,R,,,,,,,,77,8,461,,SIL,4,3
SUBCOMPACT CARS,TOYOTA,CAMRY SOLARA CONVERTIBLE,2.2,4,Auto(L4),F,23,30,26,25.2733,39.0956,30.055,R,,,,90,9,,,,,693,,CLKUP,4,3
SUBCOMPACT CARS,TOYOTA,CAMRY SOLARA CONVERTIBLE,3,6,Auto(L4),F,19,26,22,20.9,33.4673,25.1498,R,,,,90,9,,,,,819,,CLKUP,4,3
SUBCOMPACT CARS,TOYOTA,CELICA,1.8,4,Auto(L4),F,27,34,30,29.8,44.2,34.9194,R,,,,78,10,,,78,17,599,,CLKUP,4,3
SUBCOMPACT CARS,TOYOTA,CELICA,1.8,4,Auto(L4),F,23,30,26,25.6335,38.099,30.0592,P,,,,78,10,,,78,17,780,,CLKUP,4,3
SUBCOMPACT CARS,TOYOTA,CELICA,1.8,4,Manual(M5),F,28,34,30,30.6,43.2,35.223,R,,,,78,10,,,78,17,599,,,4,3
SUBCOMPACT CARS,TOYOTA,CELICA,1.8,4,Manual(M6),F,23,32,26,25.7,40.5,30.758,P,,,,78,10,,,78,17,780,,,4,3
SUBCOMPACT CARS,VOLKSWAGEN,CABRIO,2,4,Auto(L4),F,22,28,24,24.4999,35.6731,28.5196,R,,,,82,8,,,,,751,,CLKUP,2,3
SUBCOMPACT CARS,VOLKSWAGEN,CABRIO,2,4,Manual(M5),F,24,31,27,26.7103,39.2215,31.187,R,,,,82,8,,,,,666,,,2,3
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,1.8,4,Auto(L4),F,22,27,24,25,35.1,28.7187,P,,T,,,,,,85,12,844,,CLKUP,5,3
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,1.8,4,Manual(M5),F,25,31,27,28.2,39.2,32.2756,P,,T,,,,,,85,12,749,,,5,3
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,1.9,4,Auto(L4),F,34,45,38,37.8549,57.4406,44.716,D,,T,,,,,,85,12,454,,CLKUP,2,3
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,1.9,4,Manual(M5),F,42,49,45,46.4977,62.9432,52.6931,D,,T,,,,,,85,12,383,,,2,3
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,2,4,Auto(L4),F,22,28,24,24.4999,35.6731,28.5196,R,,,,,,,,85,12,751,,CLKUP,2,3
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,2,4,Manual(M5),F,24,31,27,26.7103,39.2215,31.187,R,,,,,,,,85,12,666,,,2,3
